round,match_id,player1,player2,p1_id,p2_id,p1_map_status,p2_map_status
R128,1,J. Sinner,N. Jarry,206173.0,111797.0,ok,ok
R128,2,T. Schoolkate,T. Daniel,209262.0,106121.0,ok,ok
R128,3,M. Giron,Y. Hanfmann,106218.0,105870.0,ok,ok
R128,4,T. Etcheverry,F. Cobolli,144869.0,207925.0,ok,ok
R128,5,H. Hurkacz,T. Griekspoor,128034.0,134868.0,ok,ok
R128,6,M. Kecmanovic,D. Lajovic,200175.0,105583.0,ok,ok
R128,7,M. Berrettini,C. Norrie,126610.0,111815.0,ok,ok
R128,8,Z. Zhang,H. Rune,111190.0,208029.0,ok,ok
R128,9,S. Tsitsipas,A. Michelsen,126774.0,210506.0,ok,ok
R128,10,J. McCabe,M. Landaluce,210317.0,212021.0,ok,ok
R128,11,G. Diallo,L. Nardi,209113.0,208134.0,ok,ok
R128,12,A. Mannarino,K. Khachanov,105173.0,111575.0,ok,ok
R128,13,F. Cerundolo,A. Bublik,202103.0,122330.0,ok,ok
R128,14,F. Diaz Acosta,Z. Bergs,207680.0,200267.0,ok,ok
R128,15,T. Boyer,F. Coria,928119.0,105948.0,synthetic_id,ok
R128,16,B. van de Zandschulp,A. de Minaur,122298.0,200282.0,ok,ok
R128,17,T. Fritz,J. Brooksby,126203.0,202385.0,ok,resolved_2023
R128,18,B. Coric,C. Garin,106432.0,106426.0,ok,ok
R128,19,F. Comesana,D. Altmaier,207681.0,127157.0,ok,ok
R128,20,G. Monfils,G. Mpetshi Perricard,104792.0,208659.0,ok,ok
R128,21,B. Shelton,B. Nakashima,210097.0,206909.0,ok,ok
R128,22,P. Carreno Busta,K. Majchrzak,105807.0,111794.0,ok,ok
R128,23,R. Bautista Agut,D. Shapovalov,105138.0,133430.0,ok,ok
R128,24,M. Arnaldi,L. Musetti,208286.0,207518.0,ok,ok
R128,25,A. Rublev,J. Fonseca,126094.0,211663.0,ok,ok
R128,26,L. Sonego,S. Wawrinka,132283.0,104527.0,ok,ok
R128,27,T. Seyboth Wild,F. Marozsan,205734.0,206681.0,ok,ok
R128,28,A. Rinderknech,F. Tiafoe,126239.0,126207.0,ok,ok
R128,29,A. Popyrin,C. Moutet,200615.0,144895.0,ok,ok
R128,30,R. Hijikata,M. Krueger,208014.0,106283.0,ok,ok
R128,31,C. Ugo Carabelli,L. Tien,200116.0,210530.0,ok,ok
R128,32,K. Samrej,D. Medvedev,208937.0,106421.0,resolved_2023,ok
R128,33,N. Djokovic,N. Basavareddy,104925.0,210460.0,ok,ok
R128,34,J. Faria,P. Kotov,210262.0,200303.0,ok,ok
R128,35,G. Onclin,R. Opelka,914437.0,124187.0,synthetic_id,ok
R128,36,S. Nagal,T. Machac,111576.0,207830.0,ok,ok
R128,37,J. Lehecka,L. Tu,208103.0,111454.0,ok,ok
R128,38,H. Gaston,O. Jasika,200384.0,117357.0,ok,ok
R128,39,D. Goffin,B. Bonzi,105676.0,126127.0,ok,ok
R128,40,F. Fognini,G. Dimitrov,104926.0,105777.0,ok,ok
R128,41,J. Draper,M. Navone,207733.0,208363.0,ok,ok
R128,42,T. Kokkinakis,R. Safiullin,106423.0,126128.0,ok,ok
R128,43,D. Dzumhur,A. Vukic,106000.0,126846.0,ok,ok
R128,44,L. Klein,S. Korda,127760.0,200624.0,ok,ok
R128,45,J. Thompson,D. Koepfer,111442.0,136440.0,ok,ok
R128,46,A. Muller,N. Borges,124186.0,132686.0,ok,ok
R128,47,Y. Nishioka,A. Dougaz,106415.0,144826.0,ok,ok
R128,48,A. Shevchenko,C. Alcaraz,207686.0,207989.0,ok,ok
R128,49,C. Ruud,J. Munar,134770.0,144719.0,ok,ok
R128,50,N. Basilashvili,J. Mensik,105932.0,210150.0,resolved_2023,ok
R128,51,J. Shang,A. Davidovich Fokina,209992.0,200221.0,ok,ok
R128,52,J. Struff,F. Auger-Aliassime,105526.0,960004.0,ok,synthetic_id
R128,53,A. Tabilo,R. Carballes Baena,126214.0,106148.0,ok,ok
R128,54,J. Duckworth,D. Stricker,105902.0,208502.0,ok,ok
R128,55,K. Nishikori,T. Monteiro,105453.0,106329.0,ok,ok
R128,56,C. O'Connell,T. Paul,972919.0,126205.0,synthetic_id,ok
R128,57,U. Humbert,M. Gigante,200005.0,209263.0,ok,ok
R128,58,H. Habib,Y. Bu,200273.0,945974.0,ok,synthetic_id
R128,59,A. Walton,Q. Halys,200443.0,111460.0,ok,ok
R128,60,O. Virtanen,A. Fils,202261.0,209950.0,ok,ok
R128,61,S. Baez,A. Cazaux,202104.0,209070.0,ok,ok
R128,62,J. Fearnley,N. Kyrgios,207985.0,106401.0,ok,resolved_2023
R128,63,P. Martinez,L. Darderi,124079.0,209260.0,ok,ok
R128,64,L. Pouille,A. Zverev,106298.0,100644.0,ok,ok
